,Mutual Info,Random Forest,Grad Boosting,XGBoost,LASSO |coef|,LR |coef|,Permutation,Composite
ca,0.05022720026329819,0.12614358256970498,0.1695087689254981,0.16848971,0.16103350514227158,0.9378242183907862,0.0,0.8098961102745071
age,0.0,0.1614812229789408,0.1787785571475701,0.083240554,0.0828465979934657,0.5854317697303069,0.015300546448087378,0.5739052018444976
cp,0.020832235339832916,0.06354392110131614,0.0689796275632132,0.09451189,0.08371738922350708,0.6053096931424653,0.024043715846994478,0.5176741832746414
thalach,0.009328806622717734,0.13958655833383704,0.1452911886180781,0.074263744,0.058234315926461576,0.44341636548064634,0.0,0.4050565380642746
oldpeak,0.04831140597715411,0.10618486660091209,0.09216776978842715,0.05701964,0.030315854941492956,0.2900691637017994,0.0,0.36631017465276844
exang,0.019302066588621658,0.036507979453735295,0.030461539757269365,0.08049697,0.06853303383620878,0.47523570926124786,0.010928961748633833,0.3270117112156937
trestbps,0.0,0.11100878330634557,0.13666891299587186,0.05726508,0.0,0.036570563826226775,0.0,0.20795750080423242
chol,0.0,0.11917625960105996,0.10054885483935216,0.054192543,0.0,0.070122501065642,0.0,0.1884730320852069
fbs,0.052205894541607734,0.014825614202563585,6.257753009426951e-05,0.06998995,0.0,0.0712753647193153,0.0,0.16928421741059596
thal,0.0,0.036987940241376416,0.027553631654097573,0.066108435,0.02098790910412539,0.21587834847446805,0.0,0.106481778601706
sex,0.0,0.02321112718030054,0.013911138960514331,0.07000936,0.018407547248450635,0.2091069044114444,0.0,0.08367907707923991
slope,0.0,0.03271826146272345,0.013070330577078225,0.060973972,0.01706374258038568,0.18801616768673599,0.0,0.07646831285759885
restecg,0.0,0.02862388296718394,0.0229971016429356,0.06343811,0.0,0.028752550756116785,0.0,0.04332946499602849
