Feature,Coefficient,Abs_Coef,Selected,Direction
ca,0.16103350514227158,0.16103350514227158,True,↑ Risk
cp,0.08371738922350708,0.08371738922350708,True,↑ Risk
age,0.0828465979934657,0.0828465979934657,True,↑ Risk
exang,0.06853303383620878,0.06853303383620878,True,↑ Risk
thalach,-0.058234315926461576,0.058234315926461576,True,↓ Risk
oldpeak,0.030315854941492956,0.030315854941492956,True,↑ Risk
thal,0.02098790910412539,0.02098790910412539,True,↑ Risk
sex,-0.018407547248450635,0.018407547248450635,True,↓ Risk
slope,-0.01706374258038568,0.01706374258038568,True,↓ Risk
chol,0.0,0.0,False,Zeroed
trestbps,0.0,0.0,False,Zeroed
fbs,-0.0,0.0,False,Zeroed
restecg,0.0,0.0,False,Zeroed
