Model,CV_Acc,CV_Acc_std,CV_AUC,CV_AUC_std,CV_F1,Test_Acc,Test_AUC,Test_F1,Test_MCC
LR — Ridge (L2),0.7603,0.041,0.7744,0.073,0.6072,0.7705,0.8571,0.5625,0.4678
LR — LASSO (L1),0.7685,0.028,0.7758,0.0839,0.6068,0.7869,0.8464,0.5806,0.5179
SVM (RBF),0.6651,0.0435,0.7009,0.0961,0.3426,0.7213,0.8339,0.4138,0.3318
Naïve Bayes,0.7148,0.0283,0.7013,0.0621,0.5261,0.7377,0.8071,0.4667,0.3796
AdaBoost,0.7026,0.0272,0.6943,0.061,0.466,0.7213,0.8,0.4138,0.3318
Random Forest,0.6324,0.0336,0.6667,0.0672,0.2495,0.6557,0.7935,0.16,0.0868
XGBoost,0.6489,0.0241,0.6577,0.0376,0.3956,0.6885,0.7833,0.3871,0.2383
Gradient Boosting,0.6407,0.0308,0.6289,0.0119,0.4127,0.7213,0.7476,0.4516,0.3315
K-Nearest Neighbors,0.6526,0.0626,0.5954,0.1031,0.312,0.6557,0.6964,0.2759,0.1273
Decision Tree,0.6035,0.0277,0.5582,0.0432,0.4119,0.7377,0.6792,0.5,0.3781
